id,name,image,description,value,expiry
1,Rice,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/rice.jpg,"A staple grain widely consumed in Africa, used in dishes like jollof rice and fried rice.",Carbohydrates,1/12/2026
2,Ofada Rice,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/ofada-rice.jpg,"Indigenous Nigerian variety of rice with a distinct aroma and slightly nutty flavor, often served with spicy stew.",Carbohydrates,1/12/2026
3,Maize Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/corn-flour.jpg,"Ground dried maize, used in African staples like pap, tuwo, and ugali.",Carbohydrates,1/12/2026
4,Teff Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/teff-flour.jpg,"Gluten-free flour from teff grain, a staple in Ethiopia, used to make injera.",Fibre,1/12/2026
5,Yam,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/yam.jpg,"Starchy tuber popular in West Africa, often boiled, fried, or pounded.",Carbohydrates,1/12/2026
6,Cassava,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/cassava.jpg,"Root crop processed into gari, fufu, and tapioca, a major energy source in Africa.",Carbohydrates,1/12/2026
7,Cocoyam,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/cocoyam.jpg,"Root vegetable used in soups and pottages, with a slightly nutty flavor.",Carbohydrates,1/12/2026
8,Plantains,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/plantain.jpg,"Starchy banana variety, consumed boiled, fried, or roasted across Africa.",Carbohydrates,1/12/2026
9,Beans,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/beans.jpg,"Legume commonly used in African dishes like moi moi, akara, and beans porridge.",Protein,1/12/2026
10,Bean Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/beans-flour.jpg,"Ground dried beans used in making moi moi, akara, and other African delicacies.",Protein,1/12/2026
11,Bambara Nut Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/bambara-nut-flour.jpg,"Ground flour from Bambara groundnut, used in snacks and traditional porridge.",Protein,1/12/2026
12,Cassava Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/cassava-flour.jpg,"Fine flour made from cassava, used in bread, pastries, and fufu.",Carbohydrates,1/12/2026
13,Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/flour.jpg,"General wheat-based flour used for bread, pastries, and snacks.",Carbohydrates,1/12/2026
14,Pumpkin,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/pumpkin.jpg,"Sweet-fleshed vegetable used in soups, stews, and as a side dish.",Vitamin A,1/12/2026
15,Garden Eggs,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/garden-egg.jpg,"Small African eggplants used in stews, sauces, and eaten raw with peanut sauce.",Vitamin C,1/12/2026
16,Potato,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/potato.jpg,"Versatile tuber eaten boiled, fried, or mashed.",Carbohydrates,1/12/2026
17,Baobab Leaf Powder,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/baobab-leaf-powder.jpg,Powdered baobab leaves used in sauces and soups in West Africa.,Calcium,1/12/2026
18,Baobab Powder,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/baobab-powder.jpg,"Powder from baobab fruit pulp, used in drinks, smoothies, and sauces.",Vitamin C,1/12/2026
19,Tomatoes,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/tomatoes.jpg,"Juicy red fruit used as a base for stews, soups, and sauces, adding flavor and color.",Vitamin C,1/12/2026
20,Tomato Paste,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/tomato-paste.jpg,"Concentrated form of tomatoes, providing intense flavor and color in cooking.",Vitamin C,1/12/2026
21,Red Bell Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/red-bell-peppers.jpg,"Sweet, crunchy peppers that add flavor, color, and nutrients to dishes.",Vitamin C,1/12/2026
22,Green Bell Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/green-bell-pepper.jpg,"Mild-tasting peppers used in stir-fries, stews, and salads.",Vitamin C,1/12/2026
23,Scotch Bonnet Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/scotch-bonnet-peppers.jpg,"Small, very hot peppers that add spice and aroma to West African dishes.",Vitamin C,1/12/2026
24,Onions,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/onions.jpg,"Aromatic vegetable used to build flavor in soups, stews, and sauces.",Antioxidants,1/12/2026
25,Coriander Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/coriander-leaves.jpg,Fresh herb with a citrusy flavor used as garnish and seasoning.,Vitamin C,1/12/2026
