id,title,description,image_url,created_at,value,time,instructions
1,Jollof Rice,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/jollof-rice.jpg,2025-08-16 17:55:16,Carbohydrate,50min,"Wash and parboil the rice until partially cooked, then drain and set aside. Blend the tomatoes, red bell peppers, and onions into a smooth paste. Heat vegetable oil in a pot, fry sliced onions until fragrant, then stir in the blended mix with tomato paste. Season with curry powder, thyme, salt, and pepper, and cook until the oil separates from the sauce. Add chicken stock and stir in the parboiled rice, mixing thoroughly. Cover and cook on low heat until the rice is tender and has absorbed all flavors."
2,Egusi Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/egusi-soup.jpg,2025-08-16 17:55:16,Protein,45min,"Season and boil the goat meat and stock fish until tender, reserving the broth. Heat palm oil in a pot, add chopped onions, and fry lightly. Stir in the ground melon seeds, cooking gently to release flavor. Gradually add the meat stock while stirring to form a thick base. Mix in the cooked meat, fish, crayfish, and chopped peppers, adjusting seasoning as needed. Add spinach leaves and simmer briefly before serving hot."
3,Bunny Chow,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/bunny-chow.jpg,2025-08-16 17:55:16,Protein,40min,"Slice the bread loaf in half and hollow out the center to make a bowl. Heat vegetable oil in a large pan and sauté onions, garlic, and ginger until aromatic. Add diced chicken and brown lightly before mixing in curry powder. Stir in tomatoes and potatoes, adding water to form a sauce if necessary. Cook until chicken is tender and potatoes are soft. Ladle the curry into the bread bowl and serve hot."
4,Bobotie,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/bobotie.jpg,2025-08-16 17:55:16,Protein,55min,"Preheat the oven to 180°C and grease a baking dish. Soak slices of bread in milk until soft, then squeeze gently. Fry chopped onions until soft, then add minced beef and cook until browned. Mix in curry powder, apricots, raisins, vinegar, salt, and pepper. Transfer to the baking dish and smooth the surface. Whisk eggs with the leftover milk, pour over the meat, top with bay leaves, and bake until golden brown."
5,Chapati,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/chapati.jpg,2025-08-16 17:55:16,Carbohydrates,35min,"Combine flour and salt in a bowl, then add warm water gradually to form a dough. Knead for 10 minutes until smooth and elastic, then cover and rest for 30 minutes. Divide into small balls and roll out each into thin circles. Heat a skillet, lightly brush with oil, and cook each chapati until golden on both sides. Stack and cover to keep warm until ready to serve."
6,Mandazi,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/mandazi.jpg,2025-08-16 17:55:16,Carbohydrates,25min,"In a mixing bowl, combine flour, sugar, baking powder, cardamom, and salt. Add coconut milk slowly, mixing until a soft dough forms. Knead lightly, cover, and rest for 20 minutes. Roll the dough to about 1 cm thick and cut into triangles or squares. Heat oil in a deep pan and fry until golden on both sides. Drain on paper towels before serving warm."
7,Kachumbari,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/kachumbari.jpg,2025-08-16 17:55:16,Vitamin C,10min,"Dice ripe tomatoes into small cubes and thinly slice the red onions. Soak the onions in salted water for a few minutes to reduce sharpness. Chop coriander leaves and chili peppers finely. Combine all vegetables in a bowl, drizzle with lime juice, and season with salt. Toss gently to mix flavors and serve immediately as a refreshing side."
8,Nyama Choma,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/nyama-choma.jpg,2025-08-16 17:55:16,Protein,60min,"Cut goat meat into medium pieces and place in a large bowl. Marinate with lemon juice, salt, pepper, and chili flakes for at least an hour. Preheat a charcoal grill until hot. Place meat on the grill, turning occasionally until fully cooked and charred on the edges. Serve hot with ugali or fresh vegetables."
9,Ugali,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ugali.jpg,2025-08-16 17:55:16,Carbohydrates,15min,Bring salted water to a boil in a large pot. Slowly pour in maize flour while stirring constantly to prevent lumps. Reduce heat and continue stirring until thick and firm. Shape into a mound and serve hot with meat or vegetable dishes.
10,Injera,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/injera.jpg,2025-08-16 17:55:16,Fiber,20min,"Mix teff flour, water, and salt into a thin batter, cover, and ferment for 1–3 days until slightly sour. Heat a skillet over medium heat and pour the batter in a circular motion to cover the surface. Cover and cook until bubbles form and the top sets without flipping. Remove and keep warm. Repeat with the remaining batter. Serve with various stews or vegetables."
